"country_name","Quarter","Type1","Type2","Type3","Type4","Type5","Type6","Type7","v2x_libdem","v2x_regime","pandem","panback","discrim","ndrights","merepfact","merepgov","merepoth","meinf","mevhar","mephar","govdis","pomviol","milinv","leglimit","melim","emlimit"
"Czech Republic","Summary",0,0,0,2,0,0,1,0.697,2,0.15,0.1267146,0,0,0,0,0,1,0,0,0,0,1,2,0,0
"Democratic Republic of the Congo","Q2",0,0,2,0,3,1,3,0.139,1,0.45,0.2154222,0,0,1,1,1,0,0,1,1,2,0,4,0,1
"Democratic Republic of the Congo","Q3",0,0,1,0,0,2,3,0.139,1,0.3,0.1436148,0,0,1,1,0,0,0,0,2,1,0,2,0,1
"Democratic Republic of the Congo","Q4",0,0,1,0,0,2,3,0.139,1,0.3,0.1436148,0,0,1,1,0,0,0,0,2,1,0,0,0,NA
"Democratic Republic of the Congo","Summary",0,0,2,0,3,2,3,0.139,1,0.45,0.1675506,0,0,1,1,1,0,0,1,2,2,0,4,0,1
"Denmark","Q2",0,0,0,0,0,0,0,0.858,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Denmark","Q3",0,0,0,0,0,0,0,0.858,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Denmark","Q4",0,0,0,0,0,0,0,0.858,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Denmark","Summary",0,0,0,0,0,0,0,0.858,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Dominican Republic","Q2",0,0,0,0,0,0,0,0.322,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Dominican Republic","Q3",0,0,0,0,0,0,0,0.322,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Dominican Republic","Q4",0,0,0,0,0,0,0,0.322,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Dominican Republic","Summary",0,0,0,0,0,0,0,0.322,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Ecuador","Q2",0,0,2,0,0,0,0,0.502,2,0.1,0.0999984,0,0,0,0,0,0,0,0,0,2,1,2,0,1
"Ecuador","Q3",0,0,2,0,0,0,0,0.502,2,0.1,0.0999984,0,0,0,0,0,0,0,0,0,2,1,2,0,1
"Ecuador","Q4",0,0,0,0,0,0,3,0.502,2,0.15,0.1499976,0,0,0,0,0,0,0,1,0,0,1,0,0,NA
"Ecuador","Summary",0,0,2,0,0,0,3,0.502,2,0.15,0.1166648,0,0,0,0,0,0,0,1,0,2,1,2,0,1
"Egypt","Q2",0,3,1,0,0,0,3,0.126,1,0.35,0.1541736,0,1,1,1,0,2,0,1,0,1,0,0,2,1
"Egypt","Q3",0,3,1,0,0,0,3,0.126,1,0.35,0.1541736,0,1,1,1,0,2,0,0,0,1,0,0,2,1
"Egypt","Q4",0,3,0,0,0,0,3,0.126,1,0.3,0.1321488,0,1,1,1,0,2,0,0,0,0,0,0,2,1
"Egypt","Summary",0,3,1,0,0,0,3,0.126,1,0.35,0.146832,0,1,1,1,0,2,0,1,0,1,0,0,2,1
"El Salvador","Q2",0,3,2,0,2,1,3,0.437,2,0.55,0.5412682,0,1,1,1,1,2,1,0,1,2,1,3,2,1
"El Salvador","Q3",0,3,2,0,0,1,3,0.437,2,0.45,0.4428558,0,1,1,1,0,2,1,0,1,2,1,0,0,NA
"El Salvador","Q4",0,3,2,0,0,1,3,0.437,2,0.45,0.4428558,0,1,1,1,0,2,1,0,1,2,1,0,0,NA
"El Salvador","Summary",0,3,2,0,2,1,3,0.437,2,0.55,0.475659933333333,0,1,1,1,1,2,1,0,1,2,1,3,2,1
"Eritrea","Q2",0,3,0,0,0,0,3,0.012,0,0.3,0.0142272,0,1,1,1,1,0,0,0,0,0,1,0,0,NA
"Eritrea","Q3",0,3,0,0,0,0,3,0.012,0,0.3,0.0142272,0,1,1,1,1,0,0,0,0,0,1,0,0,NA
"Eritrea","Q4",0,3,0,0,0,0,3,0.012,0,0.3,0.0142272,0,1,1,1,1,0,0,0,0,0,1,0,0,NA
"Eritrea","Summary",0,3,0,0,0,0,3,0.012,0,0.3,0.0142272,0,1,1,1,1,0,0,0,0,0,1,0,0,NA
"Ethiopia","Q2",0,0,0,0,2,0,2,0.176,1,0.2,0.1160192,0,0,0,0,0,0,1,0,0,0,0,3,2,1
"Ethiopia","Q3",0,0,0,0,2,0,0,0.176,1,0.1,0.0580096,0,0,0,0,0,0,0,0,0,0,0,3,2,1
"Ethiopia","Q4",0,0,0,0,0,0,0,0.176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA
"Ethiopia","Summary",0,0,0,0,2,0,2,0.176,1,0.2,0.0580096,0,0,0,0,0,0,1,0,0,0,0,3,2,1
"Finland","Q2",0,0,0,0,0,0,0,0.813,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Finland","Q3",0,0,0,0,0,0,0,0.813,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Finland","Q4",0,0,0,0,0,0,0,0.813,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Finland","Summary",0,0,0,0,0,0,0,0.813,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"France","Q2",1,0,1,0,0,0,0,0.783,3,0.1,0.0679644,1,0,0,0,0,0,0,0,0,1,0,2,0,1
"France","Q3",1,0,1,0,0,0,0,0.783,3,0.1,0.0679644,1,0,0,0,0,0,0,0,0,1,0,2,0,1
"France","Q4",1,0,1,0,0,0,0,0.783,3,0.1,0.0679644,1,0,0,0,0,0,0,0,0,1,0,2,0,1
"France","Summary",1,0,1,0,0,0,0,0.783,3,0.1,0.0679644,1,0,0,0,0,0,0,0,0,1,0,2,0,1
"Gabon","Q2",0,0,0,0,0,1,3,0.2,1,0.2,0.128,0,0,0,1,1,2,0,0,1,0,0,2,0,1
"Gabon","Q3",0,0,0,0,0,2,3,0.2,1,0.25,0.16,0,0,0,1,1,2,0,0,2,0,0,2,0,1
"Gabon","Q4",0,0,0,0,0,2,3,0.2,1,0.25,0.16,0,0,0,1,1,2,0,0,2,0,0,2,0,1
"Gabon","Summary",0,0,0,0,0,2,3,0.2,1,0.25,0.149333333333333,0,0,0,1,1,2,0,0,2,0,0,2,0,1
"Georgia","Q2",1,0,0,0,0,0,1,0.504,2,0.1,0.0999936,1,0,0,0,0,1,0,0,0,0,1,2,0,1
"Georgia","Q3",0,0,0,0,0,0,0,0.504,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"Georgia","Q4",0,0,0,0,0,0,0,0.504,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"Georgia","Summary",1,0,0,0,0,0,1,0.504,2,0.1,0.0333312,1,0,0,0,0,1,0,0,0,0,1,2,0,1
"Germany","Q2",0,0,0,0,0,0,0,0.779,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Germany","Q3",0,0,0,0,0,0,0,0.779,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Germany","Q4",0,0,0,0,0,0,0,0.779,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Germany","Summary",0,0,0,0,0,0,0,0.779,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Ghana","Q2",0,0,1,0,2,0,3,0.608,3,0.3,0.2860032,0,0,0,1,1,1,1,1,0,1,1,3,0,1
"Ghana","Q3",0,0,0,0,2,0,0,0.608,3,0.1,0.0953344,0,0,0,0,0,0,0,0,0,0,1,3,0,1
"Ghana","Q4",0,0,0,0,2,0,0,0.608,3,0.1,0.0953344,0,0,0,0,0,0,0,0,0,0,1,3,0,1
"Ghana","Summary",0,0,1,0,2,0,3,0.608,3,0.3,0.158890666666667,0,0,0,1,1,1,1,1,0,1,1,3,0,1
"Greece","Q2",3,0,1,0,0,0,1,0.762,2,0.25,0.181356,3,0,0,0,0,1,0,0,0,1,0,1,0,1
"Greece","Q3",3,0,1,0,0,0,1,0.762,2,0.25,0.181356,3,0,0,0,0,1,0,0,0,1,0,1,0,1
"Greece","Q4",3,0,1,0,0,0,3,0.762,2,0.35,0.2538984,3,0,0,0,0,1,1,1,0,1,0,1,0,1
"Greece","Summary",3,0,1,0,0,0,3,0.762,2,0.35,0.2055368,3,0,0,0,0,1,1,1,0,1,0,1,0,1
"Guatemala","Q2",0,0,1,0,0,1,3,0.396,2,0.25,0.239184,0,0,0,0,0,2,1,1,1,1,1,2,0,1
"Guatemala","Q3",0,0,0,0,0,1,3,0.396,2,0.2,0.1913472,0,0,0,0,0,2,1,1,1,0,1,2,0,1
"Guatemala","Q4",0,0,0,0,0,1,3,0.396,2,0.2,0.1913472,0,0,0,0,0,2,1,1,1,0,1,2,0,1
"Guatemala","Summary",0,0,1,0,0,1,3,0.396,2,0.25,0.2072928,0,0,0,0,0,2,1,1,1,1,1,2,0,1
"Guinea","Q2",0,0,2,0,0,0,3,0.166,1,0.25,0.138444,0,0,0,0,0,0,1,1,0,2,1,2,0,1
"Guinea","Q3",0,0,2,0,0,0,0,0.166,1,0.1,0.0553776,0,0,0,0,0,0,0,0,0,2,1,2,0,1
