"country_name","timeperiod","v2x_libdem","pandem","panback","Type1","Type2","Type3","Type4","Type5","Type6","Type7","discrim","ndrights","merepfact","merepgov","merepoth","meinf","mevhar","mephar","govdis","pomviol","emlimit","emlaw","emstart","emend","emlimitdate","emlawapp","emlegapp","leglimit","legdisdate","legresdate","melim","melimstart","melimend","subvar","milinv","time","emname","misclimit"
"Cameroon","Mar-Jun",0.145,0.25,0.123975,0,0,2,0,0,1,2,0,0,0,0,0,2,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Cameroon","Jul-Sep",0.145,0.3,0.14877,0,0,2,0,0,2,2,0,0,0,0,0,2,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Canada","Mar-Sep",0.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,6,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,2,0,"2020-09-02",NA,NA
"Canada","Mar-Jun",0.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Canada","Jul-Sep",0.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Central African Republic","Mar-Sep",0.213,0.15,0.0838155,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,2,0,NA,5,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,0,0,"2020-09-10",NA,NA
"Central African Republic","Mar-Jun",0.213,0.1,0.0670524,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Central African Republic","Jul-Sep",0.213,0.15,0.1005786,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Chad","Mar-Sep",0.11,0.3,0.0979,0,0,1,0,0,2,3,0,0,0,1,0,0,1,1,2,1,1,1,"2020-04-25",NA,"2020-05-16",1,1,2,NA,NA,0,NA,NA,2,1,"2020-09-12","Constitution (2018) Articles 96, 97, 127, 130.
Order 044 (Ordonnance n° 44 du 27 octobre 1962 relative à l'état d'urgence).",NA
"Chad","Mar-Jun",0.11,0.25,0.0979,0,0,1,0,0,1,3,0,0,0,1,0,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,NA,1,NA,NA,NA
